id,linearization
10066,21.349
10203,29.041
10220,31.645
10428,22.311
10435,16.939
10463,28.095
10723,18.199
10739,19.837
10742,43.150
40007,13.744
40061,24.202
40094,30.826
40100,23.816
40123,18.709
40168,20.309
40231,11.984
40250,16.222
40257,19.438
40265,20.319
40353,25.829
40363,33.053
40511,20.610
40512,23.446
40577,19.111
10753,9.722
40032,15.418
40211,13.080
40503,14.624
40646,25.207
10204,15.757
10374,32.225
40067,14.931
40096,8.868
40134,17.409
40139,26.290
40242,8.863
40283,31.188
40195,11.409
40435,32.165
40492,13.683
40528,11.883
40652,32.326
40700,11.631
40436,18.490
40491,19.509
40737,17.151
