id,linearization
35,52.937
36,24.418
37,23.290
38,14.424
39,21.424
40,28.754
41,24.093
42,19.136
43,21.077
44,21.209
45,22.453
46,15.838
47,21.167
48,17.417
49,29.509
50,30.410
51,22.059
1,18.123
2,18.790
3,26.581
4,20.145
5,18.652
6,26.161
7,23.185
8,28.586
9,31.753
10,16.007
11,26.263
12,20.114
13,22.733
14,19.326
15,28.821
16,21.330
17,8.145
18,29.314
19,33.315
20,5.645
21,22.750
22,15.196
23,15.207
24,22.499
25,22.840
26,47.641
27,16.205
28,29.787
29,28.433
30,17.318
31,19.131
32,19.744
33,28.033
34,49.532
