rep,id,initT,aS,dS,tau,lBt0,lp,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_n,eta_V0
1,1,-10.22775494098800131,1.40972903589135479,0.00014645160886444,0.05000000000000001,-5.26931759062672533,4.59999999999999964,3.64901737436158058,0.02783468091292911,0.02000000000000000,-0.59155071910866752,0.00000000000000000,-1.63925343963877612,0.00000000000000000,-0.67104725311333002,0.00000000000000000,0.43104726470377708,-1.24835229261875691,0.00000000000000000
2,1,-11.27533802882449621,1.40972903589135479,0.00017281761226341,0.05000000000000001,-5.11945426157028471,4.59999999999999964,4.70662414870233636,0.02467895563080485,0.02000000000000000,-1.63913380694516242,0.00000000000000000,-1.47371172461459476,0.00000000000000000,-0.52118392405688940,0.00000000000000000,0.68556025565160161,-1.36868416894495359,0.00000000000000000
1,2,-10.15029370228256411,1.40972903589135479,0.00371223424739868,0.05000000000000001,-3.85388656159132070,4.59999999999999964,4.13234508170535353,0.03193852284568268,0.02000000000000000,-0.51408948040323033,0.00000000000000000,1.59344069874507355,0.00000000000000000,0.74438377592207461,0.00000000000000000,0.55543440807700395,-1.11082215673843221,0.00000000000000000
2,2,-10.43135670342755006,1.40972903589135479,0.00582013774363676,0.05000000000000001,-3.67034631907695852,4.59999999999999964,4.02887118277468748,0.03311737392351580,0.02000000000000000,-0.79515248154821627,0.00000000000000000,2.04313070912554995,0.00000000000000000,0.92792401843643679,0.00000000000000000,0.53007557904966141,-1.07457701404427830,0.00000000000000000
1,3,-7.17203631588272295,1.40972903589135479,0.00648752102013954,0.05000000000000001,-3.66570568877056058,4.59999999999999964,3.94866548565598752,0.02373515642416863,0.02000000000000000,2.46416790599661084,0.00000000000000000,2.15168726895606799,0.00000000000000000,0.93256464874283473,0.00000000000000000,0.50996701595285931,-1.40767770824408567,0.00000000000000000
2,3,-5.73825170475869140,1.40972903589135479,0.00643006050492236,0.05000000000000001,-3.67222922361318194,4.59999999999999964,3.70589812137981545,0.02805136969789760,0.02000000000000000,3.89795251712064239,0.00000000000000000,2.14279072836173512,0.00000000000000000,0.92604111390021338,0.00000000000000000,0.44651498315901472,-1.24059758930770414,0.00000000000000000
1,4,-11.31689698150885981,1.40972903589135479,0.00108116823192293,0.05000000000000001,-4.67966498326680647,4.59999999999999964,1.43587064324375491,0.06205000546227786,0.02000000000000000,-1.68069275962952602,0.00000000000000000,0.35984893311997723,0.00000000000000000,-0.08139464575341115,0.00000000000000000,-0.50163926888086485,-0.44669445098794380,0.00000000000000000
2,4,-12.00166370291306173,1.40972903589135479,0.00160781938926492,0.05000000000000001,-4.56610878553688337,4.59999999999999964,1.01016538479374951,0.06954840387464560,0.02000000000000000,-2.36545948103372794,0.00000000000000000,0.75668562471024536,0.00000000000000000,0.03216155197651194,0.00000000000000000,-0.85329658937417241,-0.33261208188484126,0.00000000000000000
1,5,-11.81106336994570150,1.40972903589135479,0.00020366350585313,0.05000000000000001,-5.09624246238610112,4.59999999999999964,3.65095696904493261,0.03014665795207835,0.02000000000000000,-2.17485914806636771,0.00000000000000000,-1.30947934777107999,0.00000000000000000,-0.49797212487270581,0.00000000000000000,0.43157866238759124,-1.16856098100023331,0.00000000000000000
2,5,-13.61391055457669985,1.40972903589135479,0.00023835165900797,0.05000000000000001,-5.11289484331708000,4.59999999999999964,3.06502465826479042,0.03080085218999105,0.02000000000000000,-3.97770633269736607,0.00000000000000000,-1.15220135659891820,0.00000000000000000,-0.51462450580368468,0.00000000000000000,0.25664496032391915,-1.14709269256585422,0.00000000000000000
1,6,-7.81819009266386189,1.40972903589135479,0.00134262614709565,0.05000000000000001,-4.53160402855001809,4.59999999999999964,2.17674312234858958,0.05490649459876106,0.02000000000000000,1.81801412921547190,0.00000000000000000,0.57643428767429761,0.00000000000000000,0.06666630896337722,0.00000000000000000,-0.08558087501753442,-0.56900341044768732,0.00000000000000000
