id,linearization
35,57.966
36,22.901
37,11.742
38,13.032
39,27.426
40,23.036
41,18.556
42,15.419
43,17.948
44,19.312
45,20.811
46,10.221
47,18.167
48,15.730
49,23.038
50,25.571
51,24.960
1,16.659
2,16.827
3,15.359
4,18.817
5,13.893
6,23.772
7,21.840
8,28.142
9,19.312
10,14.435
11,24.173
12,18.943
13,19.864
14,17.540
15,19.386
16,15.275
17,7.557
18,24.995
19,23.928
20,5.216
21,15.499
22,14.362
23,18.497
24,18.450
25,18.350
26,33.465
27,14.925
28,26.897
29,20.599
30,21.830
31,23.581
32,19.489
33,25.516
34,57.339
