id,linearization
35,43.693
36,26.251
37,15.390
38,11.974
39,22.761
40,28.236
41,27.560
42,19.445
43,23.321
44,20.503
45,24.166
46,9.720
47,18.680
48,16.532
49,27.597
50,28.339
51,23.466
1,18.826
2,22.836
3,20.112
4,23.201
5,17.591
6,17.515
7,32.139
8,25.802
9,32.656
10,16.770
11,29.091
12,23.651
13,23.127
14,19.136
15,23.708
16,17.997
17,5.894
18,27.364
19,27.120
20,7.645
21,27.231
22,15.558
23,15.508
24,21.388
25,27.304
26,31.852
27,15.637
28,29.317
29,22.024
30,15.994
31,18.010
32,39.825
33,29.482
34,32.919
