id,linearization
10066,21.287
10203,26.290
10220,30.813
10428,19.550
10435,16.741
10463,27.301
10723,18.345
10739,15.873
10742,36.563
40007,11.520
40061,23.311
40094,24.402
40100,22.365
40123,14.326
40168,12.696
40231,10.842
40250,11.862
40257,18.233
40265,16.521
40353,21.186
40363,28.764
40511,21.619
40512,16.978
40577,17.421
10753,20.511
40032,8.604
40211,12.692
40503,12.812
40646,24.002
10204,15.580
10374,35.142
40067,8.250
40096,8.351
40134,13.637
40139,28.421
40242,9.923
40283,32.498
40195,9.957
40435,34.973
40492,15.111
40528,12.479
40652,31.792
40700,9.415
40436,20.988
40491,17.952
40737,18.116
